foi_name	foi_obs	n_fois	bg_obs	n_bgs	odds_ratio	p_val	test_type		
###ARID3A	No Description###
13qq14_11	1	489	43	14323	0.67	1.00e+00	Fisher-Exact		
###ATF1	No Description###
13qq14_11	0	489	12	14323	0.00	1.00e+00	Fisher-Exact		
###ATF2	No Description###
13qq14_11	4	489	82	14323	1.45	3.64e-01	Fisher-Exact		
###ATF3	No Description###
13qq14_11	0	489	25	14323	0.00	1.00e+00	Fisher-Exact		
###BACH1	No Description###
13qq14_11	1	489	17	14323	1.77	4.46e-01	Fisher-Exact		
###BATF	No Description###
13qq14_11	3	489	45	14323	2.03	1.98e-01	Fisher-Exact		
###BCL11A	No Description###
13qq14_11	2	489	36	14323	1.67	3.49e-01	Fisher-Exact		
###BCL3	No Description###
13qq14_11	2	489	25	14323	2.47	2.10e-01	Fisher-Exact		
###BCLAF1	No Description###
13qq14_11	0	489	0	14323	nan	1.00e+00	Fisher-Exact		
###BDP1	No Description###
13qq14_11	0	489	0	14323	nan	1.00e+00	Fisher-Exact		
###BHLHE40	No Description###
13qq14_11	1	489	64	14323	0.45	7.27e-01	Fisher-Exact		
###BRCA1	No Description###
13qq14_11	0	489	25	14323	0.00	1.00e+00	Fisher-Exact		
###BRF1	No Description###
13qq14_11	0	489	0	14323	nan	1.00e+00	Fisher-Exact		
###BRF2	No Description###
13qq14_11	0	489	0	14323	nan	1.00e+00	Fisher-Exact		
###CBX3	No Description###
13qq14_11	0	489	10	14323	0.00	1.00e+00	Fisher-Exact		
###CCNT2	No Description###
13qq14_11	1	489	7	14323	4.72	2.16e-01	Fisher-Exact		
###CEBPB	No Description###
13qq14_11	12	489	338	14323	1.04	9.90e-01	Chi-squared		
###CEBPD	No Description###
13qq14_11	0	489	12	14323	0.00	1.00e+00	Fisher-Exact		
###CHD1	No Description###
13qq14_11	0	489	11	14323	0.00	1.00e+00	Fisher-Exact		
###CHD2	No Description###
13qq14_11	0	489	58	14323	0.00	2.69e-01	Fisher-Exact		
###CREB1	No Description###
13qq14_11	0	489	27	14323	0.00	1.00e+00	Fisher-Exact		
###CTBP2	No Description###
13qq14_11	0	489	0	14323	nan	1.00e+00	Fisher-Exact		
###CTCF	No Description###
13qq14_11	11	489	323	14323	1.00	8.84e-01	Chi-squared		
###CTCFL	No Description###
13qq14_11	0	489	0	14323	nan	1.00e+00	Fisher-Exact		
###E2F1	No Description###
13qq14_11	1	489	57	14323	0.50	1.00e+00	Fisher-Exact		
###E2F4	No Description###
13qq14_11	1	489	43	14323	0.67	1.00e+00	Fisher-Exact		
###E2F6	No Description###
13qq14_11	0	489	44	14323	0.00	4.06e-01	Fisher-Exact		
###EBF1	No Description###
13qq14_11	2	489	41	14323	1.45	6.51e-01	Fisher-Exact		
###EGR1	No Description###
13qq14_11	1	489	18	14323	1.67	4.65e-01	Fisher-Exact		
###ELF1	No Description###
13qq14_11	1	489	32	14323	0.91	1.00e+00	Fisher-Exact		
