13qq14_11	P-value	Direction
ARID3A	1.00e+00	nonsignificant
ATF1	1.00e+00	nonsignificant
ATF2	3.64e-01	nonsignificant
ATF3	1.00e+00	nonsignificant
BACH1	4.46e-01	nonsignificant
BATF	1.98e-01	nonsignificant
BCL11A	3.49e-01	nonsignificant
BCL3	2.10e-01	nonsignificant
BCLAF1	1.00e+00	nonsignificant
BDP1	1.00e+00	nonsignificant
BHLHE40	7.27e-01	nonsignificant
BRCA1	1.00e+00	nonsignificant
BRF1	1.00e+00	nonsignificant
BRF2	1.00e+00	nonsignificant
CBX3	1.00e+00	nonsignificant
CCNT2	2.16e-01	nonsignificant
CEBPB	9.90e-01	nonsignificant
CEBPD	1.00e+00	nonsignificant
CHD1	1.00e+00	nonsignificant
CHD2	2.69e-01	nonsignificant
CREB1	1.00e+00	nonsignificant
CTBP2	1.00e+00	nonsignificant
CTCF	8.84e-01	nonsignificant
CTCFL	1.00e+00	nonsignificant
E2F1	1.00e+00	nonsignificant
E2F4	1.00e+00	nonsignificant
E2F6	4.06e-01	nonsignificant
EBF1	6.51e-01	nonsignificant
EGR1	4.65e-01	nonsignificant
ELF1	1.00e+00	nonsignificant
ELK1	1.00e+00	nonsignificant
ELK4	5.50e-01	nonsignificant
EP300	2.37e-01	nonsignificant
ESR1	3.41e-01	nonsignificant
ESRRA	1.00e+00	nonsignificant
ETS1	1.00e+00	nonsignificant
EZH2	2.94e-01	nonsignificant
FAM48A	5.22e-02	nonsignificant
FOS	9.99e-01	nonsignificant
FOSL1	1.00e+00	nonsignificant
FOSL2	1.00e+00	nonsignificant
FOXA1	1.90e-01	nonsignificant
FOXA2	1.00e+00	nonsignificant
FOXM1	6.62e-01	nonsignificant
FOXP2	1.00e+00	nonsignificant
GABPA	4.11e-01	nonsignificant
GATA1	3.35e-01	nonsignificant
GATA2	7.13e-01	nonsignificant
GATA3	1.00e+00	nonsignificant
GRp20	1.00e+00	nonsignificant
GTF2B	6.35e-01	nonsignificant
GTF2F1	5.54e-02	nonsignificant
GTF3C2	1.00e+00	nonsignificant
HDAC1	1.00e+00	nonsignificant
HDAC2	1.00e+00	nonsignificant
HDAC6	1.00e+00	nonsignificant
HDAC8	1.00e+00	nonsignificant
HMGN3	1.00e+00	nonsignificant
HNF4A	1.00e+00	nonsignificant
