"inflammatory_bowel_disease"	"multiple_sclerosis"	"telomere_length"	"platelet_counts"	"metabolite_levels"	"hdl_cholesterol"	"c.reactive_protein"	"ldl_cholesterol"	"cholesterol__total"	"ulcerative_colitis"	"breast_cancer"	"crohns_disease"	"type_1_diabetes"	"celiac_disease"	"rheumatoid_arthritis"	"systemic_lupus_erythematosus"
"H3K4me3_Mobilized_CD34_Primary_Cells"	15.8249966056428	4.56034212798325	2.76962704674166	15.0774820122312	0.193134809055218	0.483044011577102	0	0.0424584734722914	0.140599148104313	1.84904920323399	1.53367428794546	3.93135418822725	0.522776162465281	0.223968950489438	1.21029363427106	1.70493465671083
"H3K4me3_Treg_Primary_Cells"	16.4460398523061	8.36109771017776	2.39088746326809	5.31575768671874	0.156396340002137	0	0	0.0424584734722914	0.705520767043295	1.82772583993678	1.09865928331095	2.92072401600287	5.92635944588947	3.4950142345453	7.6712688062816	4.15730539542986
"H3K4me3_CD4_Memory_Primary_Cells"	13.9291341739404	11.016135098159	2.80764423340044	1.70710445567775	0.204481209077516	0.0301517543027238	0.00691717782632631	0	0.316958836662185	0.109448011951065	1.89877496911101	3.93135418822725	1.99565056821106	2.32469772785658	1.30897708448634	2.28468744496045
"H3K4me3_CD8_Naive_Primary_Cells"	8.51712710925937	7.27789016789829	2.8471765526264	2.2805546262248	0.193134809055218	0	0	0.134718487816375	0.705520767043295	0.802817828127788	1.02352252322383	1.52424058915517	2.16664437037697	3.07602823856415	1.21029363427106	1.25633759589637
"H3K4me3_CD4_Naive_Primary_Cells"	10.3051093060644	8.35072955767072	2.80764423340044	1.98798588534125	0.193134809055218	0.316529238963236	0	0.231622502527332	0.705520767043295	1.09156619573024	1.02352252322383	3.93135418822725	3.01278321440584	2.26416273843912	1.5885301873244	1.61101036980367
"H3K4me3_CD8_Memory_Primary_Cells"	11.7665499456035	7.56388412801391	2.80764423340044	1.63680452629174	0.156396340002137	0.144667170503742	0	0.0424584734722914	0.705520767043295	1.09156619573024	0.765503662299009	3.1115946759029	3.01278321440584	2.77846052080478	3.55522661026687	2.23482480859225
"H3K4me3_Adult_Liver"	1.62960522972823	0.522887504844172	2.51960638680388	2.97419687160592	2.5296701208159	5.3213402914851	8.05483875001423	6.76958053487171	7.86306127698265	0.0394324071012089	0	0	-0.0114463292055951	0.100998519906655	0.292512766324916	0.893612541709628
"H3K4me3_Duodenum_Mucosa"	8.84837723258126	1.09746319209321	2.59090781169271	1.18423145301316	0.193134809055218	0.316529238963236	0	1.35424099447913	1.71717649059875	0.928431566547305	0.662279076078537	1.57189271536697	0.0114463292055951	0.361092571392949	0.837225142970294	1.24787493482346
"H3K4me3_CD19_Primary_Cells"	8.90924799759109	2.55471832704102	1.91373637670061	2.06750318367744	0.193134809055218	-0.128128011128398	0.00691717782632631	0	0	0.0603977977202166	0.0708498512588172	1.26767079012829	0.250866118243432	1.08072503192285	1.69448146722082	2.23482480859225
"H3K4me3_Rectal_Mucosa"	10.3051093060644	2.49693652268292	3.14084180503551	2.97419687160592	0.156396340002137	0.144803306756172	0	0.609037938496361	0.686857337784124	1.85107954261897	0.880981388310301	1.91759256929059	0.841450228172648	1.79917133637235	1.21029363427106	2.62431995201435
