foi_name	foi_obs	n_fois	bg_obs	n_bgs	odds_ratio	p_val	test_type		
###H3K4me3_Colon_Smooth_Muscle	Strand: Both	Score threshold: NA	No Description###
telomere_length	5	17	559	13239	9.53	5.34e-04	Fisher-Exact		
ldl_cholesterol	7	103	559	13239	1.66	2.09e-01	Fisher-Exact		
crohns_disease	14	192	559	13239	1.80	5.12e-02	Chi-squared		
hdl_cholesterol	7	133	559	13239	1.26	5.12e-01	Fisher-Exact		
inflammatory_bowel_disease	13	118	559	13239	2.85	5.47e-04	Chi-squared		
platelet_counts	8	76	559	13239	2.69	1.46e-02	Fisher-Exact		
multiple_sclerosis	7	162	559	13239	1.02	8.45e-01	Fisher-Exact		
ulcerative_colitis	9	115	559	13239	1.94	6.11e-02	Fisher-Exact		
breast_cancer	15	142	559	13239	2.73	3.60e-04	Chi-squared		
metabolite_levels	7	98	559	13239	1.75	1.97e-01	Fisher-Exact		
c-reactive_protein	3	46	559	13239	1.59	4.44e-01	Fisher-Exact		
type_1_diabetes	3	77	559	13239	0.92	1.00e+00	Fisher-Exact		
celiac_disease	3	58	559	13239	1.24	7.36e-01	Fisher-Exact		
rheumatoid_arthritis	5	81	559	13239	1.50	3.95e-01	Fisher-Exact		
cholesterol__total	7	88	559	13239	1.97	1.00e-01	Fisher-Exact		
systemic_lupus_erythematosus	8	90	559	13239	2.23	5.64e-02	Fisher-Exact		
###H3K4me3_CD3_Primary_Cells	Strand: Both	Score threshold: NA	No Description###
telomere_length	4	17	435	13239	9.13	1.95e-03	Fisher-Exact		
ldl_cholesterol	5	103	435	13239	1.51	3.94e-01	Fisher-Exact		
crohns_disease	8	192	435	13239	1.29	4.17e-01	Fisher-Exact		
hdl_cholesterol	6	133	435	13239	1.40	4.55e-01	Fisher-Exact		
inflammatory_bowel_disease	12	118	435	13239	3.40	7.68e-05	Chi-squared		
platelet_counts	7	76	435	13239	3.02	1.23e-02	Fisher-Exact		
multiple_sclerosis	17	162	435	13239	3.55	7.17e-07	Chi-squared		
ulcerative_colitis	5	115	435	13239	1.34	4.31e-01	Fisher-Exact		
breast_cancer	10	142	435	13239	2.26	2.72e-02	Fisher-Exact		
metabolite_levels	4	98	435	13239	1.25	5.66e-01	Fisher-Exact		
c-reactive_protein	2	46	435	13239	1.34	6.64e-01	Fisher-Exact		
type_1_diabetes	4	77	435	13239	1.62	3.23e-01	Fisher-Exact		
celiac_disease	10	58	435	13239	6.25	1.68e-05	Fisher-Exact		
rheumatoid_arthritis	5	81	435	13239	1.95	1.94e-01	Fisher-Exact		
cholesterol__total	6	88	435	13239	2.17	6.94e-02	Fisher-Exact		
systemic_lupus_erythematosus	8	90	435	13239	2.91	9.42e-03	Fisher-Exact		
###H3K4me3_Brain_Mid_Frontal_Lobe	Strand: Both	Score threshold: NA	No Description###
telomere_length	3	17	477	13239	5.76	2.17e-02	Fisher-Exact		
