"telomere_length"	"ldl_cholesterol"	"crohns_disease"	"hdl_cholesterol"	"inflammatory_bowel_disease"	"platelet_counts"	"multiple_sclerosis"	"ulcerative_colitis"	"breast_cancer"	"metabolite_levels"	"c.reactive_protein"	"type_1_diabetes"	"celiac_disease"	"rheumatoid_arthritis"	"cholesterol__total"	"systemic_lupus_erythematosus"
"H3K4me3_Colon_Smooth_Muscle"	0.001557240774211	0.3594976715401	0.108850960219788	0.71669245013184	0.00116166834405312	0.0196288810996385	0.844516402708	0.178149670714717	0.010214970333603	0.5006975979532	0.9841987795945	-1	0.940057341726222	0.462865289633034	0.1970059000911	0.0959504451338
"H3K4me3_CD3_Primary_Cells"	0.00302269002755043	0.557513362408417	0.590408106146167	0.716467827121636	0.000186508334659071	0.018740536956487	4.06544826746667e-06	0.7772343535452	0.09254782417308	0.663259323360276	1	0.809606315329143	0.0003198790263618	0.265538221933481	0.1970059000911	0.0249672022558446
"H3K4me3_Brain_Mid_Frontal_Lobe"	0.0227212169708788	0.567949367722462	-1	0.613136256654526	0.0128167767442222	0.0235958431549643	0.130054971555983	-0.913203553774375	0.709879162699806	0.64101057004425	0.9841987795945	-0.973988144876571	0.834844032292421	0.145470475035033	0.614829340238064	0.148172153593455
"H3K4me3_Muscle_Satellite_Cultured_Cells"	0.00364531307496	0.272846194351667	0.57986506539219	0.482470496543143	0.00535311387547167	0.00214433732173233	0.05341865161276	0.913203553774375	0.229942305002174	0.663259323360276	1	-0.973988144876571	0.792504031362	0.516382653339437	0.1970059000911	0.100590774386383
"H3K4me3_Duodenum_Mucosa"	0.002565028460972	0.04423428436478	0.0267983024687444	0.482470496543143	1.41782544914025e-09	0.0654287385046	0.079898165515975	0.117914831154257	0.217631083337818	0.64101057004425	1	0.973988144876571	0.4354190526942	0.145470475035033	0.01917889181611	0.0565099684954
"H3K4me3_Stomach_Mucosa"	0.0108311596215083	0.038325038152796	0.57986506539219	0.3288183066083	0.00191087682786737	0.0196288810996385	0.258393045242074	-1	0.499030071802	0.37258206577565	0.9841987795945	-1	-1	0.240886380904	0.09369771201518	0.301324049777
"H3K4me3_Colonic_Mucosa"	0.00455959061229852	0.080860691557275	0.05399197448164	0.785482345170965	5.85616403828462e-06	0.00524137670023556	0.0321133064493231	0.0809904485576	0.215197840041	0.64101057004425	0.9841987795945	-0.973988144876571	0.840057022728	0.100135454217492	0.1970059000911	0.121035383725616
"H3K4me3_Brain_Inferior_Temporal_Lobe"	0.0223752633972129	0.246015268414667	-1	0.452812925242	0.0114070876828092	0.00330355826144714	0.321764613919067	-0.913203553774375	0.428699013009714	0.5006975979532	0.9841987795945	-0.973988144876571	-1	0.265538221933481	0.31336567534	0.148172153593455
"H3K4me3_Stomach_Smooth_Muscle"	0.00142175068894844	0.272846194351667	0.1601883304679	0.3288183066083	0.000844706738816133	0.00075647945292875	0.12046703313849	0.7772343535452	0.010214970333603	0.697595483263636	-1	-1	-1	0.63844831807	0.1970059000911	0.143693165990867
"H3K4me3_Duodenum_Smooth_Muscle"	0.001557240774211	0.3594976715401	0.05399197448164	0.71669245013184	4.41830903635e-06	0.00330355826144714	0.12046703313849	0.178149670714717	0.270390188988462	0.5006975979532	1	-1	0.792504031362	0.0813717284184889	0.189105804711233	0.0204198194151925
