"ldl_cholesterol"	"hdl_cholesterol"	"metabolite_levels"	"cholesterol__total"	"c.reactive_protein"	"platelet_counts"	"breast_cancer"	"telomere_length"	"ulcerative_colitis"	"crohns_disease"	"inflammatory_bowel_disease"	"celiac_disease"	"multiple_sclerosis"	"systemic_lupus_erythematosus"	"rheumatoid_arthritis"	"type_1_diabetes"
"ldl_cholesterol"	1	0.773472726345062	0.908581852912903	0.907609701156616	0.876917839050293	-0.108133092522621	-0.366841405630112	0.00592871150001884	-0.253673225641251	-0.360911160707474	-0.373188823461533	-0.305232137441635	-0.345181077718735	-0.349439352750778	-0.255240559577942	-0.245031327009201
"hdl_cholesterol"	0.773472726345062	1	0.845353066921234	0.859780073165894	0.879418909549713	0.00925318617373705	-0.133191019296646	-0.0681913420557976	-0.215003907680511	-0.2659050822258	-0.244552403688431	-0.225402340292931	-0.22539646923542	-0.19111205637455	-0.199125364422798	-0.208504319190979
"metabolite_levels"	0.908581852912903	0.845353066921234	1	0.954863131046295	0.961725652217865	-0.053007822483778	-0.381829410791397	-0.0333493761718273	-0.195992946624756	-0.221205860376358	-0.237474322319031	-0.164442628622055	-0.200834602117538	-0.229814067482948	-0.152621954679489	-0.126435279846191
"cholesterol__total"	0.907609701156616	0.859780073165894	0.954863131046295	1	0.973169386386871	-0.089763380587101	-0.317477852106094	-0.0102076176553965	-0.122054696083069	-0.193671345710754	-0.189707174897194	-0.098180428147316	-0.170667469501495	-0.178148567676544	-0.112813375890255	-0.0744092911481857
"c.reactive_protein"	0.876917839050293	0.879418909549713	0.961725652217865	0.973169386386871	1	0.00816751644015312	-0.286220133304596	-0.0429165847599506	-0.130431741476059	-0.164038479328156	-0.152311772108078	-0.0987168177962303	-0.125126898288727	-0.136196821928024	-0.110387049615383	-0.0731046944856644
"platelet_counts"	-0.108133092522621	0.00925318617373705	-0.053007822483778	-0.089763380587101	0.00816751644015312	1	0.262899041175842	0.0518248192965984	0.500138342380524	0.384211778640747	0.4704310297966	-0.0635661855340004	0.162580072879791	0.220761358737946	0.176625266671181	0.114982612431049
"breast_cancer"	-0.366841405630112	-0.133191019296646	-0.381829410791397	-0.317477852106094	-0.286220133304596	0.262899041175842	1	0.287673532962799	0.212623298168182	0.238357439637184	0.268786996603012	0.0294384863227606	0.275966107845306	0.267869472503662	0.0218503028154373	0.0731302052736282
"telomere_length"	0.00592871150001884	-0.0681913420557976	-0.0333493761718273	-0.0102076176553965	-0.0429165847599506	0.0518248192965984	0.287673532962799	1	0.270939230918884	0.271574139595032	0.123749122023582	0.146705776453018	0.137107610702515	0.11005786806345	-0.0418868102133274	0.0686996504664421
"ulcerative_colitis"	-0.253673225641251	-0.215003907680511	-0.195992946624756	-0.122054696083069	-0.130431741476059	0.500138342380524	0.212623298168182	0.270939230918884	1	0.708951711654663	0.789634644985199	0.42412543296814	0.458755642175674	0.625253319740295	0.557998657226562	0.574767827987671
"crohns_disease"	-0.360911160707474	-0.2659050822258	-0.221205860376358	-0.193671345710754	-0.164038479328156	0.384211778640747	0.238357439637184	0.271574139595032	0.708951711654663	1	0.889851808547974	0.57410854101181	0.77265739440918	0.595899105072021	0.492485672235489	0.673121094703674
"inflammatory_bowel_disease"	-0.373188823461533	-0.244552403688431	-0.237474322319031	-0.189707174897194	-0.152311772108078	0.4704310297966	0.268786996603012	0.123749122023582	0.789634644985199	0.889851808547974	1	0.626535177230835	0.800174355506897	0.782699644565582	0.665280401706696	0.73499459028244
"celiac_disease"	-0.305232137441635	-0.225402340292931	-0.164442628622055	-0.098180428147316	-0.0987168177962303	-0.0635661855340004	0.0294384863227606	0.146705776453018	0.42412543296814	0.57410854101181	0.626535177230835	1	0.838010787963867	0.628394722938538	0.598221063613892	0.777444303035736
"multiple_sclerosis"	-0.345181077718735	-0.22539646923542	-0.200834602117538	-0.170667469501495	-0.125126898288727	0.162580072879791	0.275966107845306	0.137107610702515	0.458755642175674	0.77265739440918	0.800174355506897	0.838010787963867	1	0.630481719970703	0.578300774097443	0.809866368770599
"systemic_lupus_erythematosus"	-0.349439352750778	-0.19111205637455	-0.229814067482948	-0.178148567676544	-0.136196821928024	0.220761358737946	0.267869472503662	0.11005786806345	0.625253319740295	0.595899105072021	0.782699644565582	0.628394722938538	0.630481719970703	1	0.814005792140961	0.722395062446594
"rheumatoid_arthritis"	-0.255240559577942	-0.199125364422798	-0.152621954679489	-0.112813375890255	-0.110387049615383	0.176625266671181	0.0218503028154373	-0.0418868102133274	0.557998657226562	0.492485672235489	0.665280401706696	0.598221063613892	0.578300774097443	0.814005792140961	1	0.883695840835571
"type_1_diabetes"	-0.245031327009201	-0.208504319190979	-0.126435279846191	-0.0744092911481857	-0.0731046944856644	0.114982612431049	0.0731302052736282	0.0686996504664421	0.574767827987671	0.673121094703674	0.73499459028244	0.777444303035736	0.809866368770599	0.722395062446594	0.883695840835571	1
