"ldl_cholesterol"	"hdl_cholesterol"	"metabolite_levels"	"cholesterol__total"	"c.reactive_protein"	"platelet_counts"	"breast_cancer"	"telomere_length"	"ulcerative_colitis"	"crohns_disease"	"inflammatory_bowel_disease"	"celiac_disease"	"multiple_sclerosis"	"systemic_lupus_erythematosus"	"rheumatoid_arthritis"	"type_1_diabetes"
"ldl_cholesterol"	NA	2.09790570027124e-07	6.67910171614494e-13	7.7760020644746e-13	4.64961402713016e-11	0.555802258029682	0.0389013573828658	0.974309573111519	0.161232706531145	0.0424205880247979	0.0353992452031964	0.0893629570279426	0.0530034444163689	0.0499514438302606	0.158571712740724	0.176480808380961
"hdl_cholesterol"	2.09790570027124e-07	NA	1.1448908487921e-09	2.91590307455181e-10	3.47704087744205e-11	0.959913325343712	0.467401639440601	0.710761715501127	0.237309380156602	0.141298791381082	0.177354656419299	0.214836457698882	0.214848720098125	0.294741325650973	0.274571815970733	0.252129102278376
"metabolite_levels"	6.67910171614494e-13	1.1448908487921e-09	NA	0	0	0.773247252371411	0.0310465659932215	0.856212936808828	0.28234684882729	0.223723700055686	0.190627447960663	0.368459804298054	0.270388383167538	0.205757011878117	0.404330425513135	0.49048027181406
"cholesterol__total"	7.7760020644746e-13	2.91590307455181e-10	0	NA	0	0.625150267729668	0.0766268563223202	0.955782366812273	0.505749555345266	0.288199820741598	0.298371994574096	0.592933359190075	0.350351994699351	0.329313007130706	0.538722316529232	0.685670381216722
"c.reactive_protein"	4.64961402713016e-11	3.47704087744205e-11	0	0	NA	0.96461354391733	0.112259838193399	0.815589645434115	0.476758056649127	0.369654233117285	0.405297570286711	0.590904995939498	0.495016074784593	0.45732028144383	0.54754556171983	0.690908689099135
"platelet_counts"	0.555802258029682	0.959913325343712	0.773247252371411	0.625150267729668	0.96461354391733	NA	0.146022048882124	0.77818057527666	0.00355785404522369	0.0299263722063827	0.00658548582293128	0.729622240997462	0.373983382068285	0.224679453010354	0.333532645466674	0.530891707503672
"breast_cancer"	0.0389013573828658	0.467401639440601	0.0310465659932215	0.0766268563223202	0.112259838193399	0.146022048882124	NA	0.110368260840447	0.242668043789241	0.188934601706059	0.136876112170041	0.872929803053338	0.126300724899525	0.138273032315715	0.905512839334715	0.690806120696504
"telomere_length"	0.974309573111519	0.710761715501127	0.856212936808828	0.955782366812273	0.815589645434115	0.77818057527666	0.110368260840447	NA	0.133639943164424	0.132696092245135	0.49981533396505	0.423001846735129	0.454288575801411	0.548747820508316	0.819941582056144	0.708698909367369
"ulcerative_colitis"	0.161232706531145	0.237309380156602	0.28234684882729	0.505749555345266	0.476758056649127	0.00355785404522369	0.242668043789241	0.133639943164424	NA	5.5845954667344e-06	7.77234527848947e-08	0.0155545144314102	0.0082693500648312	0.000130149003282343	0.000905213703776386	0.00058026689412749
"crohns_disease"	0.0424205880247979	0.141298791381082	0.223723700055686	0.288199820741598	0.369654233117285	0.0299263722063827	0.188934601706059	0.132696092245135	5.5845954667344e-06	NA	9.61652979469818e-12	0.000590767064662323	2.20094732883425e-07	0.000319899818333136	0.00419108619559028	2.42796795490996e-05
"inflammatory_bowel_disease"	0.0353992452031964	0.177354656419299	0.190627447960663	0.298371994574096	0.405297570286711	0.00658548582293128	0.136876112170041	0.49981533396505	7.77234527848947e-08	9.61652979469818e-12	NA	0.000124877226027165	3.87907350685168e-08	1.2023391304794e-07	3.26240210162254e-05	1.66288199476838e-06
"celiac_disease"	0.0893629570279426	0.214836457698882	0.368459804298054	0.592933359190075	0.590904995939498	0.729622240997462	0.872929803053338	0.423001846735129	0.0155545144314102	0.000590767064662323	0.000124877226027165	NA	2.17990381301547e-09	0.000117568562531645	0.000298878727760021	1.65622278114341e-07
"multiple_sclerosis"	0.0530034444163689	0.214848720098125	0.270388383167538	0.350351994699351	0.495016074784593	0.373983382068285	0.126300724899525	0.454288575801411	0.0082693500648312	2.20094732883425e-07	3.87907350685168e-08	2.17990381301547e-09	NA	0.000109823194403447	0.000526756806372264	1.97270688673257e-08
"systemic_lupus_erythematosus"	0.0499514438302606	0.294741325650973	0.205757011878117	0.329313007130706	0.45732028144383	0.224679453010354	0.138273032315715	0.548747820508316	0.000130149003282343	0.000319899818333136	1.2023391304794e-07	0.000117568562531645	0.000109823194403447	NA	1.46060776806678e-08	3.03871447515647e-06
"rheumatoid_arthritis"	0.158571712740724	0.274571815970733	0.404330425513135	0.538722316529232	0.54754556171983	0.333532645466674	0.905512839334715	0.819941582056144	0.000905213703776386	0.00419108619559028	3.26240210162254e-05	0.000298878727760021	0.000526756806372264	1.46060776806678e-08	NA	2.08362216369551e-11
"type_1_diabetes"	0.176480808380961	0.252129102278376	0.49048027181406	0.685670381216722	0.690908689099135	0.530891707503672	0.690806120696504	0.708698909367369	0.00058026689412749	2.42796795490996e-05	1.66288199476838e-06	1.65622278114341e-07	1.97270688673257e-08	3.03871447515647e-06	2.08362216369551e-11	NA
